IsolateID	Genus	Metric	LowerBound	Q1	Median	Q3	UpperBound	Threshold
SAP18-0432	Salmonella	Reads	1031947	1788899	2198986	2566925	3366025	NA
SAP18-0432	Salmonella	MeanR1Qual	33.75	34.6	35.1	35.5	36.45	30
SAP18-0432	Salmonella	MeanR2Qual	29.405	31.6	32.6	33.73	35.795	30
SAP18-0432	Salmonella	PercMapped	96.86	97.75	98.39	98.77	99.92	NA
SAP18-0432	Salmonella	MeanDepth	33.385	55.97	67.06	78.42	100.735	20
SAP18-0432	Salmonella	CovLT10	28540.5	53563	60330	74756	92119.5	NA
SAP18-0432	Salmonella	SNPs	0	0	0	0	0	NA
SAP18-0432	Salmonella	MeanInsert	180.65	307.6	355.1	423.9	529.55	180.65
SAP18-0432	Salmonella	NG50	38077.5	237030	401100	479045	764122.5	38077.5
SAP18-0432	Salmonella	GenomeFraction	99.06	99.09	99.12	99.13	99.18	NA
SAP18-0432	Salmonella	Contigs	45.5	65.75	74	84.75	102.5	102.5
SAP18-0432	Salmonella	LengthDelta	-35394.5	-32451	-30800	-29388	-26205.5	NA
SAP18-0432	Salmonella	UnalignedLength	0	0	540	1288.8	2473.2	NA
SAP18-H9654	Salmonella	Reads	362619.5	1598185	1968122	2668520	3573624.5	NA
SAP18-H9654	Salmonella	MeanR1Qual	33.97	34.7	35.05	35.42	36.13	30
SAP18-H9654	Salmonella	MeanR2Qual	29.22	31.38	32.85	33.8	36.48	30
SAP18-H9654	Salmonella	PercMapped	97.36	98.09	98.5	98.85	99.64	NA
SAP18-H9654	Salmonella	MeanDepth	13.29	53.2	62.7	86.14	112.11	20
SAP18-H9654	Salmonella	CovLT10	25411.5	50109	54948	69800	84484.5	NA
SAP18-H9654	Salmonella	SNPs	0	0	0	0	0	NA
SAP18-H9654	Salmonella	MeanInsert	203.3	327.6	371	439.4	538.7	203.3
SAP18-H9654	Salmonella	NG50	259138.5	364836	430452	479045	601765.5	259138.5
SAP18-H9654	Salmonella	GenomeFraction	99.05	99.09	99.11	99.13	99.17	NA
SAP18-H9654	Salmonella	Contigs	41.75	62	69.5	80.5	97.25	97.25
SAP18-H9654	Salmonella	LengthDelta	-35396.5	-32152	-30988	-29213	-26579.5	NA
SAP18-H9654	Salmonella	UnalignedLength	0	0	0	1378	2067	NA
SAP18-6199	Salmonella	Reads	880606	1722622	2093266	2531062	3305926	NA
SAP18-6199	Salmonella	MeanR1Qual	33.9	34.6	35.1	35.4	36.3	30
SAP18-6199	Salmonella	MeanR2Qual	29.35	31.2	32.5	33.3	35.65	30
SAP18-6199	Salmonella	PercMapped	97.245	97.93	98.4	98.7	99.555	NA
SAP18-6199	Salmonella	MeanDepth	16.93	49.1	63.07	79.86	109.21	20
SAP18-6199	Salmonella	CovLT10	27843	53201	62313	76181	96783	NA
